Country,Value
Albania,1598
Austria,38074
Azerbaijan,2106
Belarus,4307
Belgium,30232
Bosnia-Herzegovina,8819
Bulgaria,5710
Chile,28870
Croatia,10272
Czech Republic,18419
Estonia,1368
Finland,4614
France,58377
Georgia,4999
Germany,330269
Greece,11326
Hungary,18176
Iceland,1015
Israel,18226
Italy,118298
Japan,372315
Kazakhstan,13515
Korea,309275
Latvia,4205
Liechtenstein,110
Lithuania,2817
Moldova,2510
New Zealand,10292
North Macedonia,5866
Norway,4529
Poland,23540
Russian Federation,145073
"Serbia, Republic of",17596
Slovak Republic,4555
Slovenia,5784
Sweden,15558
Switzerland,20022
Türkiye,150275
United Kingdom,95222
Uzbekistan,6982
